mmsi,latitude,longitude,sog,cog,nav_status_code,received_at_utc,ulsan_bound,source_system,source_table,collected_at_utc,quality_flag,is_synthetic,nav_status_category
511101675.0,35.04955666666667,129.001995,0.0,358.0,5,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,MOORED
636024694.0,34.960015,129.27961666666667,11.6,212.3,0,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,UNDER_WAY
373098000.0,34.67601166666667,129.20443666666668,2.0,14.9,0,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,UNDER_WAY
440030820.0,35.10978333333333,129.06834,0.0,47.6,0,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,ANCHORED
440118750.0,35.107895,129.06554166666666,9.9,330.6,0,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,UNDER_WAY
440000132.0,35.09457,129.07084,0.0,57.7,0,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,ANCHORED
352003081.0,35.05903833333333,129.038345,0.1,339.7,0,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,ANCHORED
441489000.0,35.051901666666666,129.00126166666666,0.0,171.0,0,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,ANCHORED
440845000.0,35.09690166666667,129.33855833333334,9.0,196.8,0,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,UNDER_WAY
440101460.0,35.09617333333333,129.04021166666666,0.0,159.8,0,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,ANCHORED
440151680.0,35.049065000000006,129.07521666666668,0.6,13.5,15,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,UNDER_WAY
440300350.0,35.10854,129.066835,0.0,174.0,0,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,ANCHORED
441236000.0,35.086,129.08726666666666,0.0,265.0,1,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,ANCHORED
440147920.0,35.09623666666666,129.04015333333334,0.0,197.2,0,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,ANCHORED
440018750.0,35.090349999999994,129.02598500000002,0.1,44.5,15,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,ANCHORED
440410930.0,35.11945,129.0509,0.0,270.1,0,,True,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,ANCHORED
413380760.0,35.105335,129.07158833333332,0.0,45.9,5,,True,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,MOORED
441274000.0,35.15676166666666,129.39828833333334,13.6,12.4,0,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,UNDER_WAY
440197030.0,35.09276166666667,129.02733166666667,0.0,107.4,0,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,ANCHORED
440100886.0,35.08312166666666,129.07878,0.0,304.9,15,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,ANCHORED
440703970.0,35.124026666666666,129.05210833333334,0.0,0.0,0,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,ANCHORED
440103010.0,35.112640000000006,129.06839499999998,0.0,360.0,0,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,ANCHORED
440331980.0,35.11978833333333,129.05090833333333,0.1,348.0,8,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,ANCHORED
636025898.0,34.90788666666666,129.20788,11.6,290.1,0,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,UNDER_WAY
636092188.0,34.91095,128.86237166666666,9.9,334.6,0,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,UNDER_WAY
440376000.0,35.08336666666666,129.08186166666667,0.0,96.7,15,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,ANCHORED
273897500.0,35.10328333333334,129.06001,0.0,360.0,0,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,ANCHORED
440714100.0,35.1199,129.05027833333332,0.0,206.5,8,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,ANCHORED
440092260.0,35.10339166666667,129.08570333333333,0.0,242.7,5,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,MOORED
440177280.0,35.035015,129.41603666666666,8.6,225.7,7,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,UNDER_WAY
563233800.0,34.87067666666667,128.919935,6.6,314.8,0,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,UNDER_WAY
440155381.0,35.12121666666667,129.05055833333333,0.0,252.2,5,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,MOORED
440104620.0,35.12705166666667,129.065,0.0,66.0,15,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,ANCHORED
477222600.0,34.74555,129.29840666666666,14.7,233.2,0,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,UNDER_WAY
440800305.0,35.09811833333333,129.04989833333335,0.0,171.3,15,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,ANCHORED
314827000.0,35.024135,129.05523,0.1,169.1,1,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,ANCHORED
441198000.0,35.009840000000004,129.08529333333334,10.4,265.7,0,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,UNDER_WAY
440115430.0,35.12208666666667,129.05164666666667,0.0,227.3,0,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,ANCHORED
440409920.0,34.97353333333333,129.10498833333332,9.6,223.1,15,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,UNDER_WAY
440806000.0,35.1061,129.09372333333334,0.0,79.9,5,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,MOORED
477987800.0,35.03698833333333,129.169,6.5,343.1,0,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,UNDER_WAY
440079710.0,35.049173333333336,129.002155,0.0,163.6,0,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,ANCHORED
440103020.0,35.066604999999996,129.141805,11.4,47.9,0,,True,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,UNDER_WAY
440009900.0,35.05025333333333,129.00165833333332,0.0,0.0,0,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,ANCHORED
440207740.0,35.084363333333336,129.08287666666666,0.0,284.0,15,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,ANCHORED
440076320.0,35.052465,129.39533166666666,8.3,221.0,0,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,UNDER_WAY
440035420.0,35.04521166666667,129.11054333333334,9.3,48.2,8,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,UNDER_WAY
440200113.0,35.08430666666666,129.08277333333334,0.0,231.7,0,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,ANCHORED
636023267.0,34.784681666666664,129.27591166666667,2.0,93.1,0,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,UNDER_WAY
440047230.0,35.09751000000001,129.070715,0.0,0.0,1,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,ANCHORED
440002070.0,35.11968,129.05059666666665,0.1,3.1,0,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,ANCHORED
636022828.0,35.16955166666666,129.50900333333334,8.8,11.5,0,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,UNDER_WAY
440022430.0,35.111578333333334,129.54040833333335,0.9,53.7,0,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,UNDER_WAY
440202770.0,35.09631666666667,129.06831833333334,0.1,251.2,0,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,ANCHORED
440409790.0,35.11983166666666,129.05061333333333,0.1,224.6,8,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,ANCHORED
352005751.0,35.103100000000005,129.06026,0.0,0.0,5,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,MOORED
