port_agency_cd,port_agency_nm,entry_year,entry_count,callsgn,vessel_name,nationality_cd,nationality_nm,ship_kind_cd,ship_kind_nm,entry_purpose_cd,entry_purpose_nm,origin_port_cd,origin_port_nm,prev_port_cd,prev_port_nm,next_port_cd,next_port_nm,dest_port_cd,dest_port_nm,source_system,source_table,collected_at_utc,quality_flag,is_synthetic,ship_kind_category,is_liquid_cargo_vessel,is_domestic_voyage,port_agency_label
820,울산,2026,1,V3WO4,HIDEMI,BZ,벨리즈,39,일반화물선,03,적하,KROKP,옥포,KROKP,옥포,CNCGS,CHANGSHU PT,CNCGS,CHANGSHU PT,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,기타/불명,False,True,울산항
820,울산,2026,2,V3PP,JIA LONG,BZ,벨리즈,39,일반화물선,03,적하,KRPUS,부산,KRPUS,부산,CNCGS,CHANGSHU PT,CNCGS,CHANGSHU PT,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,기타/불명,False,True,울산항
820,울산,2026,1,V7A3853,MAGNATE,MH,마샬 제도,53,케미칼 운반선,03,적하,CNZOS,ZHOUSHAN,CNZOS,ZHOUSHAN,USHNL,HONOLULU,USHNL,HONOLULU,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,목재선,False,False,울산항
820,울산,2026,6,T8A5549,스카이 뷰티호,PW,팔라우,39,일반화물선,03,적하,CNTAC,TAICANG PT,CNTAC,TAICANG PT,CNTSI,JINGJIANG,CNTSI,JINGJIANG,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,기타/불명,False,False,울산항
820,울산,2026,7,D7CO,팬콘 선샤인,KR,대한민국,41,풀컨테이너선,01,양적하,JPKNZ,KANAZAWA,JPKNZ,KANAZAWA,KRPUS,부산,KRPUS,부산,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,기타/불명,False,False,울산항
820,울산,2026,19,192801,그레이스 알파,KR,대한민국,52,석유제품 운반선,03,적하,KRYOS,여수,KRYOS,여수,KRYOS,여수,KRYOS,여수,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,화물/시멘트선,False,True,울산항
820,울산,2026,35,140035,동방7호,KR,대한민국,52,석유제품 운반선,10,단순경유,KRYOS,여수,KRYOS,여수,KRPUS,부산,KRPUS,부산,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,화물/시멘트선,False,True,울산항
820,울산,2026,3,D7KE,QUARTERBACK J,KR,대한민국,52,석유제품 운반선,03,적하,JPUKB,KOBE,JPUKB,KOBE,,,,,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,화물/시멘트선,False,False,울산항
820,울산,2026,12,3E2725,SUN ROYAL,PA,파나마,53,케미칼 운반선,02,양하,KRPTK,평택.당진,KRPTK,평택.당진,CNTAX,TAIXING,CNTAX,TAIXING,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,목재선,False,True,울산항
820,울산,2026,2,SKJC,ANIARA,SE,스웨덴,27,자동차운반선,03,적하,KRMAS,마산,KRMAS,마산,KRMAS,마산,USNTD,PORT HUENEME,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,기타/불명,False,True,울산항
820,울산,2026,23,190026,21부영호,KR,대한민국,52,석유제품 운반선,03,적하,KRPUS,부산,KRPUS,부산,KRSCP,삼천포,KRSCP,삼천포,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,화물/시멘트선,False,True,울산항
